"카테고리","대표질문","유사질문","검증샘플","의도","답변"
"모바일","olleh WiFi AP와 사설 AP 각각의 WiFi(와이파이)망에서 반경 몇미터까지 정도 접속 사용이 가능할까요?","","olleh WiFi AP와 사설 AP 각각의 WiFi(와이파이)망에서 반경 몇미터까지 정도 접속 사용이 가능할까요?","olleh WiFi Call","반경 20~30m 정도에서 사용이 가능하나, 주변 전파와의 간섭/중첩/회절 등의 상황에 따라서 커버리지가 유동적입니다. 일반적으로는 30평형 아파트에서 olleh WiFi AP를 설치하면 댁내에서는 무리없이 사용하실 수 있습니다."
"모바일","전자금융거래법 시행으로 인한 자동이체 신청 방법이 어떻게 되나요?","","전자금융거래법 시행으로 인한 자동이체 신청 방법이 어떻게 되나요?","서비스정책","자동이체 등록할 은행, 대리점 또는 olleh plaza 방문 하여 신청 가능하며, 모바일상품 고객센터 전화신청(단, 예금주 동의 전화녹취 후 가능)이 가능합니다.또한 올레닷컴 내 마이올레(http://my.olleh.com) → 납부방법 관리→ 자동납부 신청/변경에서 신청/변경하시면 됩니다."
"모바일","olleh plaza 업무시간은 어떻게 되나요?","","olleh plaza 업무시간은 어떻게 되나요?","서비스정책","평일 오전 09:00 ~ 오후 18:00 (매주 토요일,일요일 및 공휴일 휴무)"
"모바일","olleh WiFi AP는 어떻게 받을수 있으며, 설치 시 별도 요금 부담이 있나요?","","olleh WiFi AP는 어떻게 받을수 있으며, 설치 시 별도 요금 부담이 있나요?","olleh WiFi Call","핸드폰을 개통 시 대리점에서 AP 신청 요청을 하게되면 설치 기사님이 방문하여 자택에 설치하게 됩니다. 이 때 별도 설치비용 및 임대료는 없습니다"
"모바일","서울에서 지방으로 이사할 경우 olleh WiFi AP 이전은 어떻게해야 하나요?","","서울에서 지방으로 이사할 경우 olleh WiFi AP 이전은 어떻게해야 하나요?","olleh WiFi Call","olleh WiFi AP 는 고객님이 직접 떼어와야 하며, 이전 설치시 철거비용은 없으나 설치비용이 1만원 부과됩니다.만약,olleh WiFi AP를 떼어오지 않을경우, AP 설치비용 1만원과 olleh WiFi AP비용 27,870원/VAT별도 부과됩니다"
"모바일","olleh AP에 olleh WiFi 기능이 추가되지 않은 경우 어떻게 해야 하나요?(무선랜 리스트에 NESPOT 신호가 안잡히는 경우)","","olleh AP에 olleh WiFi 기능이 추가되지 않은 경우 어떻게 해야 하나요?(무선랜 리스트에 NESPOT 신호가 안잡히는 경우)","olleh WiFi Call TIP","olleh AP 설치기사를 바로 연락토록 하여 olleh WiFi 설정 가이드 또는 기사 출동하시어 olleh WiFi 설정 및 정상접속 확인해야 합니다. olleh WiFi 모드가 지원되는 olleh AP의 경우에만 가능하며, 그중 SSID olleh WiFi 으로 접속하셔야 합니다. olleh WiFi zone이 아니라도 항상 리스트에 olleh WiFi가 보이므로 안테나를 항상 확인해 보시기 바랍니다."
"모바일","기존에 이용하고 있던 070번호를 olleh 폰 개통 시 함께 이용할 수 있나요?","","기존에 이용하고 있던 070번호를 olleh 폰 개통 시 함께 이용할 수 있나요?","olleh WiFi Call","올레폰 070번호/010번호 부여받는 번호는 모두 신규번호로만 가능합니다. 기존에 사용하던 070 번호를 부여할 수는 없습니다."
"모바일","olleh WiFi AP 암호화란 의미가 뭔가요?","","olleh WiFi AP 암호화란 의미가 뭔가요?","olleh WiFi Call","우리 KT의 인터넷전화 단말은 WPA(WiFi protected access)를 통해서 암호화하고 WPA는 WEP보다 더 높은 보안성을 가지고 있는 국제공인 무선랜 암호화방식이 적용되어 있습니다 네트워크 접근시 높은 차단을 하기 때문에 안심하도록 안내해 주시고, 무선공유기(QOOK HUB나 QOOKAP)를 사용한다고 언급하거나 전산상 확인되면 암호를 생성하여 사용하도록 안내 바랍니다. 참고로 Qook AP의 web key는 인터넷사용을 위한 보안 key입니다. 통화는 WPA로 보호되고 있으므로 안전하게 잘 보호되고 되는 부분을 말합니다."
"모바일","핸드폰 기기변경(중고 핸드폰 기기변경)은 어떻게 하나요?","","핸드폰 기기변경(중고 핸드폰 기기변경)은 어떻게 하나요?","서비스정책","핸드폰을 지참 후 olleh plaza, 대리점 방문하여 변경이 가능합니다. ※ 사이트 정회원인 경우, 범용공인인증서 및 SMS인증을 통한 중고 핸드폰 기기변경이 가능합니다.    (단, 미성년자는 사이트를 통한 기기변경 불가)※ 2G 핸드폰에서 3G 핸드폰으로 기기변경은 사이트상에서는 불가능 하며, 가까운 olleh plaza 및    대리점을 이용해주시기 바랍니다.    단, 사이트에서는 2G핸드폰 ↔ 2G핸드폰, 3G 핸드폰 ↔ 3G 핸드폰간 기기변경이 가능합니다.※ 미납 및 분실 핸드폰으로는 변경할 수 없습니다."
"모바일","핸드폰 기기변경(중고 핸드폰 기기변경) 처리시 구비서류는 어떻게 되나요?","","핸드폰 기기변경(중고 핸드폰 기기변경) 처리시 구비서류는 어떻게 되나요?","서비스정책","ㅇ 명의자 : 신분증ㅇ 대리인 : 명의자와 대리인의 신분증ㅇ 법인 : 사업자등록증 사본, 대리인 신분증ㅇ 개인사업자 : 대표자 신분증과 사업자등록증 사본                       (대표자 방문시, 대리인 내방시 대리인 신분증 추가)ㅇ 미성년자 : 명의자 신분증 (법정대리인 방문 시 가족확인서류, 법정대리인 신분증)ㅇ 외국인 : 외국인 등록증 또는 여권(대리인 방문 시 대리인 신분증 추가) ☞  서류 유효기간    ㅇ 호적등본/주민등록등본/위임장 : 발급일로부터 3개월    ㅇ 인감증명서 : 발급일로부터 3개월    ㅇ 사업자 등록증/사업자 등록 증명원 : 유효기간 없습니다.        (유효기간이 지난것에 대해서는 서류인정 되지 않습니다.)"
"모바일","olleh 모바일 국제로밍안내방송 서비스는 무엇인가요?","","olleh 모바일 국제로밍안내방송 서비스는 무엇인가요?","부가서비스","국내 고객이 로밍 고객에게 전화를 했을 때 통화연결 전에 고객이 로밍서비스를 이용하고 있음을 알려주는 서비스이며, 이용요금은 무료입니다. * 국제로밍 안내방송서비스 안내 및 신청 바로가기▶"
"모바일","kt공중전화 모바일 티머니 충전서비스는 무엇인가요?","","kt공중전화 모바일 티머니 충전서비스는 무엇인가요?","부가서비스","서울 및 수도권 소재 kt 공중전화를 이용하여 모바일티머니 충전을 가능하도록 한 서비스 입니다."
"모바일","영상편지 서비스 종류에는 어떤것이 있나요?","","영상편지 서비스 종류에는 어떤것이 있나요?","부가서비스","영상편지 서비스는 핸드폰과 사이트에서 이용할수 있으며, 영상편지 보관함, 영상편지 공개홀 등 다양한 종류의 영상편지 서비스를 즐기실 수 있습니다."
"모바일","영상편지 지원 핸드폰이 아닌데 서비스 이용을 할 수 있나요?","","영상편지 지원 핸드폰이 아닌데 서비스 이용을 할 수 있나요?","부가서비스","네. 가능합니다.영상편지 지원 핸드폰이 아니더라도 동영상만 지원 된다면 영상편지를 받아 볼 수 있습니다.또한, 사이트 정회원일 경우 사이트에서 영상편지 보내기가 가능합니다."
"모바일","영상편지가 전송되지 않았을때도 요금이 부과 되나요?","","영상편지가 전송되지 않았을때도 요금이 부과 되나요?","부가서비스","아니요.영상편지가 전송되지 않았을 경우에는 부과되지 않습니다."
"모바일","영상편지를 다른 통신사 서비스를 이용하는 사람에게 보낼 수 있나요?","","영상편지를 다른 통신사 서비스를 이용하는 사람에게 보낼 수 있나요?","부가서비스","네. 가능합니다. 핸드폰과 사이트에서 타 통신사 서비스 이용 고객들에게도 전송이 가능합니다.단, 동영상 지원이 되는 핸드폰으로만 전송이 되며, 전송이 되지 않을경우 요금은 부과되지 않습니다."
"모바일","사이트에서 영상편지 제작(녹화)할 때 웹켐이나 마이크 없이 영상편지 이용이 가능한가요?","","사이트에서 영상편지 제작(녹화)할 때 웹켐이나 마이크 없이 영상편지 이용이 가능한가요?","부가서비스","웹캠이 없는 경우 영상편지를 제작(녹화)할 수 없고, 마이크가 없는 경우 제작(녹화)하여 이용할 수 있습니다.단, 마이크없는 경우 영상편지는 음성없이 제작(녹화)되어 영상편지를 보냅니다."
"모바일","받은 영상편지/보낸영상편지는 어디서 볼 수 있나요?","","받은 영상편지/보낸영상편지는 어디서 볼 수 있나요?","부가서비스","사이트 내 영상편지 보관함에서 영상편지를 확인할 수 있습니다.영상편지를 전달하기, 답장하기, 보내기 등 다양한 서비스를 이용할 수 있습니다."
"모바일","olleh 모바일 알 요금제 사용고객의 경우 기본알이 모두 차감되더라도 영상편지 서비스 이용되나요?","","olleh 모바일 알 요금제 사용고객의 경우 기본알이 모두 차감되더라도 영상편지 서비스 이용되나요?","부가서비스","네. 이용 가능합니다.  영상편지 이용 시 영상통화료와 데이터통화료는 모두 무료이고, 영상편지 1건당 100원의 정보이용료만 부과됩니다."
"모바일","디지로그펜 모바일 서비스는 무엇인가요?","","디지로그펜 모바일 서비스는 무엇인가요?","부가서비스","손으로 쓴 문자, 그림 정보를 핸드폰이나 PC를 통해 즉시 상대방의 핸드폰이나 PC로 전달하는 서비스입니다. 월 이용요금은 다음과 같습니다.  구분 상품 내용 기본통화료  * 10,000원     - 무료통화 250분 (무료이월 250)     - 무료 SMS 100건 데이터통화료  * 월정액 2,000원  * 디지탈 펜 데이터 / 핸드폰인 경우만 사용 가능 정보이용료 상품명 이용요금(월)제공혜택디지털펜 브론즈3,000원 디지털펜 문자 200건 무료디지털펜 실버7,500원 디지털펜 문자 500건 무료디지털펜 골드22,500원디지털펜 문자 1,500건 무료디지털펜 문자 일반 500,000원디지털펜 문자 10,000건 무료디지털펜 문자 일만오천750,000원 디지털펜 문자 15,000건 무료디지털펜 문자 오만2,500,000원디지털펜 문자 50,000건 무료"
"모바일","olleh 모바일 로밍 저팬넘버 서비스는 무엇인가요?","","olleh 모바일 로밍 저팬넘버 서비스는 무엇인가요?","부가서비스","NTT DoCoMo의 일본 번호를 받아, 일본에서 로밍이용 시 음성/영상로밍 최대 57% 데이터는 국내 수준으로 81%까지 할인 받는 로밍 부가서비스이며, 월 이용요금은 1,000원 입니다. * olleh 모바일 로밍 저팬넘버 서비스 안내 및 신청 바로가기▶"
"모바일","kt 제주 올레 가이드 서비스는 무엇인가요?","","kt 제주 올레 가이드 서비스는 무엇인가요?","부가서비스","제주 올레길 정보 및 주변 정보, 대중교통(가는방법)을 알려주는 서비스이며, 이용요금은 무료입니다."
"모바일","olleh 모바일 명함 서비스는 무엇인가요?","","olleh 모바일 명함 서비스는 무엇인가요?","부가서비스","3G 핸드폰 및 사이트에서 자신의 명함을 전송/수신/관리가 가능한 서비스입니다. ※ 본 서비스는 2011년 4월 19일부터 신규가입이 제한 되었습니다. 월 이용요금은 다음과 같습니다. 서비스명내용 olleh 모바일 명함 기본 * 월정액 없이 명함발송    - 100원/건 정보료 발생 * 데이터통화료 무료   - 단, 가입 후 한달이내 10건 무료발송olleh 모바일 명함300 * 월정액 3,000원 명함발송 100건 무료  * 데이터통화료 무료   - 초과 시 50원/건 정보이용료 발생 * olleh 모바일 명함 서비스 안내 바로가기▶"
"모바일","분실임대폰 택배 임대서비스 신청은 어떻게 하나요?","","분실임대폰 택배 임대서비스 신청은 어떻게 하나요?","서비스정책","모바일상품 고객센터, 대리점에서 신청 가능합니다."
"모바일","분실임대폰 택배 임대서비스 이용시 택배 비용이 부과되나요?","","분실임대폰 택배 임대서비스 이용시 택배 비용이 부과되나요?","서비스정책","임대시 무료이용 됩니다. (한진택배)반납시 유료이용 됩니다. (고객이 원하시는 택배사로 반납 가능) ※ 임대폰불량에 의한 반송시에는 택배비용 당사가 부담합니다.    단, 반드시 한진택배 이용해주셔야 하며, 타 택배 이용하여 착불 발송 시 반송처리 됩니다."
"모바일","분실임대폰 택배 임대서비스 배송은 어떻게 되나요?","","분실임대폰 택배 임대서비스 배송은 어떻게 되나요?","서비스정책","오후 2시까지 접수된 경우, 당일 오후 4일 일괄 택배 발송됩니다.오후 2시이후 접수된 경우, 다음날 오후 4시 일괄 택배 발송됩니다. ※ 임대폰 배송기간은 택배기간과 동일합니다.    수도권은 약 2~3일, 지방은 약 3~4일 소요됩니다."
"모바일","분실임대폰 택배 임대서비스 이용후, 임대폰 반납은 어떻게 하나요?","","분실임대폰 택배 임대서비스 이용후, 임대폰 반납은 어떻게 하나요?","서비스정책","olleh plaza , 대리점에서 임대폰 반납이 가능합니다.단, 택배로 반납을 원하시는 경우 택배비 고객 부담됩니다."
"모바일","모바일 장기일시정지시 필요한 서류는 무엇인가요?","","모바일 장기일시정지시 필요한 서류는 무엇인가요?","서비스정책","서류는 아래와 같습니다. 구분명의자 본인대리인개인 방문신청시명의자신분증 ＊ 명의자 신분증, 대리인 신분증 ※ 명의자 신분증이 없는 경우     - 가족에 한해 주민등록등본, 대리인 신분증 전화신청시고객정보 확인 ＊ 고객정보 확인 ＊ 명의자 신분증, 대리인 신분증 팩스 송부 ※ 명의자 신분증이 없는 경우     - 가족에 한해 주민등록등본, 대리인 신분증법인  방문신청시 * 사업자 등록증, 위임장, 대리인 신분증 전화신청시 ■  장기 일시정지 사실을 확인하는 서류 구분  구비서류 사유별 사실 확인서류군입대  ＊ 입영일자/부대조회 자료 출력(www.mma.go.kr)     또는,군입신분증 사본 ＊ 호적초본, 주민등록초본 (초본에 입영일자 확인가능) 해외체류 ＊ 해외체류 사실확인서 ＊ 출입국사실증명서 ＊ 입학허가서 ＊ 6개월이상 체류한다는 사실확인서     (기간이 명기된 회사공문서, 왕복 비행기 티켓) 행방불명 ＊ 경찰서에 접수한 행방불명 신고서 사본(또는 증명서) 형집행 ＊ 재소증명서 사본 ※ 장지 일시정지 기간은 사유별 다음과 같습니다. ㅇ 군입대 : 최대 3회선, 회선별 3년ㅇ 군입대 사유 외(해외체류/행방불명/형집행 사유)     : 회선제한(본인명의 휴대폰 중 일시정지 가능 대수 제한)은 없으며, 각 사유별 장기정지       모두 포함하여 3년만 정지 가능☞ 장기정지 해제 후 다시 장기정지를 할 경우라도 3년기간에서 해제한 일수를 제외하지 않음"
"모바일","번호변경은 어떻게 할 수 있나요?","","번호변경은 어떻게 할 수 있나요?","서비스정책","핸드폰 지참 후 가까운 olleh plaza 및 대리점 방문하여 가능합니다.정회원 이상은 올레닷컴 내 마이올레에서 SMS 인증 및 범용 공인인증서를 이용한 변경이 가능합니다.단, 명의자와 실제 사용자 정보가 전산상에 상이할 경우 변경이 불가합니다. ※ 올레닷컴 내 마이올레(http://my.olleh.com) → 핸드폰 관리 → 번호변경"
"모바일","olleh plaza 업무시간은 어떻게 되나요?","","olleh plaza 업무시간은 어떻게 되나요?","서비스정책","평일 오전 09:00 ~ 오후 18:00 (매주 토요일,일요일 및 공휴일 휴무)"
"모바일","타사의 인터넷을 이용할 경우에도 olleh WiFi AP를 이용할 수 있나요?","","타사의 인터넷을 이용할 경우에도 olleh WiFi AP를 이용할 수 있나요?","olleh WiFi Call","네. olleh  인터넷을 이용하지 않아도 olleh WiFi AP를 통해 olleh WiFi Call 이용하실 수 있습니다."
"모바일","유무선합산 납부는 무엇인가요?","","유무선합산 납부는 무엇인가요?","요금관련","집전화 명세서에 핸드폰 사용요금이 합산청구 되어 납부 처리되는 제도입니다. 신청방법은, 모바일 상품 고객센터로 전화신청 또는 대리점 , olleh plaza로 방문하여 신청 하시면 됩니다.또한, 올레닷컴 내 마이올레에서 변경하시면 됩니다."
"모바일","olleh WiFi AP와 사설 AP 각각의 WiFi(와이파이)망에서 반경 몇미터까지 정도 접속 사용이 가능할까요?","","olleh WiFi AP와 사설 AP 각각의 WiFi(와이파이)망에서 반경 몇미터까지 정도 접속 사용이 가능할까요?","olleh WiFi Call","반경 20~30m 정도에서 사용이 가능하나, 주변 전파와의 간섭/중첩/회절 등의 상황에 따라서 커버리지가 유동적입니다. 일반적으로는 30평형 아파트에서 olleh WiFi AP를 설치하면 댁내에서는 무리없이 사용하실 수 있습니다."
"모바일","전자금융거래법 시행으로 인한 자동이체 신청 방법이 어떻게 되나요?","","전자금융거래법 시행으로 인한 자동이체 신청 방법이 어떻게 되나요?","서비스정책","자동이체 등록할 은행, 대리점 또는 olleh plaza 방문 하여 신청 가능하며, 모바일상품 고객센터 전화신청(단, 예금주 동의 전화녹취 후 가능)이 가능합니다.또한 올레닷컴 내 마이올레(http://my.olleh.com) → 납부방법 관리→ 자동납부 신청/변경에서 신청/변경하시면 됩니다."
"모바일","olleh AP가 불량일 경우 처리 방법은 어떻게 되나요?","","olleh AP가 불량일 경우 처리 방법은 어떻게 되나요?","olleh WiFi Call TIP","임대장비이기??문에 100-3 으로 as접수하면 가능합니다."
"모바일","olleh WiFi AP는 어떻게 받을수 있으며, 설치 시 별도 요금 부담이 있나요?","","olleh WiFi AP는 어떻게 받을수 있으며, 설치 시 별도 요금 부담이 있나요?","olleh WiFi Call","핸드폰을 개통 시 대리점에서 AP 신청 요청을 하게되면 설치 기사님이 방문하여 자택에 설치하게 됩니다. 이 때 별도 설치비용 및 임대료는 없습니다"
"모바일","서울에서 지방으로 이사할 경우 olleh WiFi AP 이전은 어떻게해야 하나요?","","서울에서 지방으로 이사할 경우 olleh WiFi AP 이전은 어떻게해야 하나요?","olleh WiFi Call","olleh WiFi AP 는 고객님이 직접 떼어와야 하며, 이전 설치시 철거비용은 없으나 설치비용이 1만원 부과됩니다.만약,olleh WiFi AP를 떼어오지 않을경우, AP 설치비용 1만원과 olleh WiFi AP비용 27,870원/VAT별도 부과됩니다"
"모바일","olleh AP에 olleh WiFi 기능이 추가되지 않은 경우 어떻게 해야 하나요?(무선랜 리스트에 NESPOT 신호가 안잡히는 경우)","","olleh AP에 olleh WiFi 기능이 추가되지 않은 경우 어떻게 해야 하나요?(무선랜 리스트에 NESPOT 신호가 안잡히는 경우)","olleh WiFi Call TIP","olleh AP 설치기사를 바로 연락토록 하여 olleh WiFi 설정 가이드 또는 기사 출동하시어 olleh WiFi 설정 및 정상접속 확인해야 합니다. olleh WiFi 모드가 지원되는 olleh AP의 경우에만 가능하며, 그중 SSID olleh WiFi 으로 접속하셔야 합니다. olleh WiFi zone이 아니라도 항상 리스트에 olleh WiFi가 보이므로 안테나를 항상 확인해 보시기 바랍니다."
"모바일","유무선합산 납부는 무엇인가요?","","유무선합산 납부는 무엇인가요?","요금관련","집전화 명세서에 핸드폰 사용요금이 합산청구 되어 납부 처리되는 제도입니다. 신청방법은, 모바일 상품 고객센터로 전화신청 또는 대리점 , olleh plaza로 방문하여 신청 하시면 됩니다.또한, 올레닷컴 내 마이올레에서 변경하시면 됩니다."
"모바일","olleh WiFi AP와 사설 AP 각각의 WiFi(와이파이)망에서 반경 몇미터까지 정도 접속 사용이 가능할까요?","","olleh WiFi AP와 사설 AP 각각의 WiFi(와이파이)망에서 반경 몇미터까지 정도 접속 사용이 가능할까요?","olleh WiFi Call","반경 20~30m 정도에서 사용이 가능하나, 주변 전파와의 간섭/중첩/회절 등의 상황에 따라서 커버리지가 유동적입니다. 일반적으로는 30평형 아파트에서 olleh WiFi AP를 설치하면 댁내에서는 무리없이 사용하실 수 있습니다."
